Reference, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Arrow Part Number, Arrow Price/Stock
"IC3","MAX738ACWE+","SOIC127P1032X265-16N","http://docs-emea.rs-online.com/webdocs/0f72/0900766b80f72edc.pdf","DC-DC Converter, Step Down 6V to 16V","2.65","Maxim Integrated","MAX738ACWE+","700-MAX738ACWE","https://www.mouser.com/Search/Refine.aspx?Keyword=700-MAX738ACWE","",""
"C9","100u","Capstone:CAPPRD200W52D500H1250","~"
"C3","10n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"R2","510k","Capstone:RESAD1650W60L650D250","~"
"C5","0.1u","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"C8","330p","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"D2","SD0805S020S1R0","DIOM1613X100N","https://componentsearchengine.com/Datasheets/1/SD0805S020S1R0.pdf","AVX - SD0805S020S1R0 - DIODE, SCHOTTKY, 1A, 20V, SOD-323","1","AVX","SD0805S020S1R0","581-SD0805S020S1R0","https://www.mouser.co.uk/ProductDetail/AVX/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D","SD0805S020S1R0","https://www.arrow.com/en/products/sd0805s020s1r0/avx?region=nac"
"L1","SRN8040TA-101M","INDPM8080X450N","http://www.bourns.com/docs/Product-Datasheets/SRN8040TA.pdf","fixed Inductor 100uH 1.1A non-Shielded","4.5","Bourns","SRN8040TA-101M","652-SRN8040TA-101M","https://www.mouser.co.uk/ProductDetail/Bourns/SRN8040TA-101M?qs=Vt59ZOdFuWYPicTq%2FhiccQ%3D%3D","SRN8040TA-101M","https://www.arrow.com/en/products/srn8040ta-101m/bourns"
"C6","0.1u","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"C7","22u","Capstone:CAPPRD200W52D500H1250","~"
"C2","68u","CAPPRD200W52D500H1250","~"
"IC1","LTC4372IMS8#TRPBF","SOP65P490X110-8N","https://www.arrow.com/en/products/ltc4372ims8trpbf/analog-devices","Power Management Specialized - PMIC Low Icc Ideal Diode Controller w/SHDN","1.1","Analog Devices","LTC4372IMS8#TRPBF","584-LTC4372IMS8TRPBF","https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4372IMS8TRPBF?qs=T94vaHKWudTwymNST%2FXaWA%3D%3D","LTC4372IMS8#TRPBF","https://www.arrow.com/en/products/ltc4372ims8trpbf/analog-devices"
"C1","100n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"R1","111","Capstone:RESAD1650W60L650D250","~"
"D1","1N4001G","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"TP2","TestPoint - 12V Reg","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded","~"
"TP5","TestPoint - 5V Reg","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded","~"
"TP1","TestPoint - Power Circuit Out","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded","~"
"Q1","BSC026NE2LS5ATMA1","BSC026NE2LS5ATMA1","https://componentsearchengine.com/Datasheets/2/BSC026NE2LS5ATMA1.pdf","Infineon BSC026NE2LS5ATMA1 N-channel MOSFET, 82 A, 25 V OptiMOS 5, 8-Pin SuperSO","1.1","Infineon","BSC026NE2LS5ATMA1","726-BSC026NE2LS5ATMA","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BSC026NE2LS5ATMA1?qs=3Bi3m9r5MQa2EkAa46uDjg%3D%3D","BSC026NE2LS5ATMA1","https://www.arrow.com/en/products/bsc026ne2ls5atma1/infineon-technologies-ag"
